condition,freq_hz,freq_ghz,q,residual_prominence_db,raw_peak_db,baseline_db,bandwidth_hz,rank_source,propagation_background,suggested_span_mhz
p1_fpc_p2_center,2702350000,2.702350000,9578.706331,12.801880,-44.337923,-57.515312,282120.560610,q_ranked,true,1.000000
p1_fpc_p2_center,2711750000,2.711750000,10475.179208,12.696908,-49.520129,-58.045827,258873.852763,q_ranked,true,1.000000
p1_fpc_p2_center,2760675000,2.760675000,7061.906528,24.169989,-38.996813,-47.562990,390924.885395,residual_ranked,true,1.172775
p1_fpc_p2_center,2765800000,2.765800000,10615.512664,14.311945,-38.950837,-46.739192,260543.233994,q_ranked,true,1.000000
p1_fpc_p2_center,2769300000,2.769300000,9785.853226,11.564568,-53.127905,-45.603596,282990.142606,q_ranked,true,1.000000
p1_fpc_p2_center,2773200000,2.773200000,8890.133283,19.325664,-50.048192,-44.702213,311941.329987,residual_ranked,true,1.000000
p1_fpc_p2_center,2781550000,2.781550000,9744.186032,11.618809,-38.547927,-41.855202,285457.398996,q_ranked,true,1.000000
p1_fpc_p2_center,2790850000,2.790850000,8290.071248,26.044172,-21.217754,-37.147333,336649.700166,residual_ranked,true,1.009949
p1_fpc_p2_center,2795025000,2.795025000,8243.792225,20.837777,-12.031635,-35.597285,339046.026828,residual_ranked,true,1.017138
p1_fpc_p2_center,2824325000,2.824325000,8055.073726,26.655539,-21.135862,-33.423011,350626.834208,residual_ranked,true,1.051881
p1_fpc_p2_center,2834625000,2.834625000,11982.334454,6.072378,-38.932068,-35.236948,236567.007117,q_ranked,true,1.000000
p1_fpc_p2_center,2873425000,2.873425000,10875.922733,18.942428,-34.388935,-39.157152,264200.571347,residual_ranked+q_ranked,true,1.000000
p1_fpc_p2_center,2906350000,2.906350000,8288.938797,26.388272,-34.311716,-43.457644,350629.926373,residual_ranked,true,1.051890
p1_fpc_p2_center,2921425000,2.921425000,9339.324055,19.012508,-44.829588,-52.108511,312809.040873,residual_ranked,true,1.000000
p1_fpc_p2_center,2968325000,2.968325000,11531.506257,13.859268,-38.675558,-45.038838,257409.997771,q_ranked,true,1.000000
p1_fpc_p2_offset,1032350000,1.032350000,11411.393091,8.743199,-98.017666,-96.330449,90466.605766,q_ranked,false,1.000000
p1_fpc_p2_offset,1222575000,1.222575000,10476.017498,6.227672,-100.891473,-97.728828,116702.267850,q_ranked,false,1.000000
p1_fpc_p2_offset,2760675000,2.760675000,7151.157210,23.155842,-40.532994,-47.857736,386045.911027,residual_ranked,true,1.158138
p1_fpc_p2_offset,2765800000,2.765800000,10515.254857,12.098338,-39.599680,-46.933550,263027.386179,q_ranked,true,1.000000
